t,X,Y,Z
27.746,355,175,1.120167
27.779,354,171,1.135965
27.811,358,154,1.162685
27.845,358,152,1.168833
27.88,359,151,1.180975
27.912,359,149,1.192447
27.945,359,149,1.199048
27.98,360,148,1.205633
28.012,361,148,1.212139
28.049,362,148,1.215224
28.075,364,148,1.217881
28.113,365,148,1.218952
28.148,367,149,1.218004
28.177,371,155,1.21129
28.213,374,156,1.205109
28.248,379,158,1.19353
28.276,386,160,1.179597
28.313,390,197,1.213783
28.347,405,206,1.216477
28.378,450,166,1.136726
28.412,425,224,1.200295
28.447,455,197,1.12327
28.477,432,244,1.185788
28.513,437,255,1.178103
28.547,440,264,1.174639
28.578,485,260,1.083026
28.613,475,281,1.084576
28.647,440,299,1.19553
28.678,493,283,1.076656
28.712,442,304,1.19588
28.747,499,291,1.072766
28.777,445,308,1.191901
28.815,500,295,1.069191
28.845,442,311,1.194003
28.88,436,316,1.227801
28.913,435,318,1.219889
28.949,433,319,1.21688
28.979,420,320,1.236411
29.018,411,316,1.230086
29.046,412,316,1.232051
29.08,418,311,1.208208
29.113,419,311,1.179768
29.148,402,272,1.032075
29.176,379,274,1.043308
29.214,361,264,1.040929
29.245,342,257,1.043328
29.283,332,250,1.047338
29.317,336,239,1.050429
29.346,330,239,1.058088
29.381,309,244,1.078843
29.417,306,245,1.083553
29.446,293,244,1.092466
29.481,289,243,1.095518
29.516,288,243,1.096329
29.547,286,231,1.093695
29.58,285,231,1.093678
29.617,285,230,1.093919
29.646,284,230,1.09454
29.679,283,230,1.094574
29.715,283,230,1.094548
29.744,283,230,1.094481
29.782,286,239,1.095422
29.814,286,238,1.094945
29.847,286,240,1.095055
29.88,287,241,1.095035
29.921,288,242,1.094856
29.946,288,243,1.094708
29.981,288,243,1.094755
30.015,288,244,1.094536
30.046,288,244,1.094382
30.08,288,244,1.0941
30.118,288,245,1.093894
30.145,289,245,1.0935
30.179,289,245,1.093177
30.214,289,245,1.093123
30.246,289,245,1.092932
30.278,289,245,1.092852
30.314,289,245,1.092596
30.343,289,246,1.09245
30.378,290,246,1.092313
30.416,290,246,1.092088
30.445,291,246,1.091505
30.477,293,246,1.090441
30.515,293,246,1.090278
30.551,293,246,1.090003
30.581,295,246,1.089191
30.616,295,246,1.088821
30.65,296,248,1.088664
30.683,297,249,1.088451
