t,X,Y,Z
32.664,274,237,0.9128373
32.698,269,237,0.9132385
32.736,264,239,0.9129869
32.764,247,239,0.9006968
32.8,234,240,0.8894013
32.832,222,240,0.8797778
32.864,213,240,0.8718908
32.896,207,240,0.8656887
32.935,202,241,0.8607985
32.964,197,241,0.856961
32.996,194,241,0.8539342
33.034,191,241,0.8515319
33.064,189,242,0.8496026
33.098,187,242,0.8480372
33.134,186,242,0.8468021
33.166,186,243,0.846571
33.196,188,245,0.8466136
33.236,189,246,0.8468137
33.269,189,247,0.8459186
33.306,188,247,0.8449718
33.333,187,247,0.8440651
33.367,186,248,0.8433914
33.402,186,248,0.8427623
33.434,185,248,0.8421347
33.464,185,248,0.8415322
33.501,184,248,0.8409681
33.539,184,248,0.84044
33.564,183,248,0.8399429
33.603,182,248,0.8394755
33.633,182,248,0.8390322
33.664,181,247,0.8386189
33.701,181,247,0.8382211
33.734,180,247,0.8378479
33.77,180,247,0.8374915
33.801,179,247,0.8371588
33.831,179,247,0.8368499
33.863,178,247,0.8365478
33.901,178,247,0.8362513
33.934,178,247,0.8359592
33.964,177,247,0.8356678
34.002,177,247,0.835381
34.031,177,247,0.8351014
34.066,176,247,0.834827
34.101,176,247,0.8345558
34.131,176,247,0.8342905
34.163,176,247,0.8340457
34.201,176,247,0.8338109
34.231,176,247,0.8335878
34.262,176,247,0.833369
34.298,175,247,0.8331586
34.332,175,247,0.832936
34.362,175,247,0.8327093
34.408,175,247,0.8324704
34.437,175,247,0.832267
34.465,174,247,0.8320712
34.498,174,247,0.8318804
34.53,174,247,0.8316947
34.565,174,248,0.8315146
34.599,174,248,0.8313448
34.63,174,248,0.8311885
34.668,174,248,0.8310517
34.699,173,248,0.8309246
34.731,173,248,0.8308129
34.77,173,248,0.830709
34.798,174,252,0.8324745
34.83,174,257,0.834307
34.868,175,263,0.8360565
34.898,175,265,0.8385491
34.931,176,266,0.8410317
34.967,177,266,0.8436417
35,179,266,0.8463284
35.031,180,266,0.8492029
35.07,182,266,0.8523818
35.099,184,265,0.8558452
35.131,185,263,0.8609672
35.167,187,262,0.8650002
35.199,190,256,0.8792963
35.231,193,254,0.8827042
35.271,201,250,0.8878427
35.299,217,246,0.8999593
35.331,231,240,0.9109177
35.369,240,238,0.9138598
35.399,252,237,0.9129359
35.431,260,236,0.9181113
35.468,265,234,0.9226045
35.498,271,234,0.9247007
35.531,274,234,0.927447
35.57,277,234,0.9318931
35.599,281,234,0.932839
35.631,284,235,0.9333432
35.668,287,235,0.9335708
35.701,289,235,0.9337228
35.736,291,236,0.9338263
35.775,293,236,0.9338573
35.802,295,237,0.9343171
35.839,296,237,0.9350502
35.872,297,238,0.9368674
35.903,304,252,0.9169716
35.939,310,265,0.9003107
35.971,315,274,0.8872289
36.002,319,283,0.8771492
36.039,322,290,0.869372
36.073,325,295,0.8633952
36.107,327,302,0.8575624
36.138,329,308,0.8528199
36.171,329,312,0.8490047
36.206,331,317,0.845187
36.241,334,328,0.8353162
36.277,337,338,0.8266726
36.301,338,347,0.8188298
36.338,341,355,0.8123704
36.371,342,362,0.8072786
36.406,343,367,0.8031951
36.44,344,371,0.800009
36.472,345,374,0.7972542
36.501,346,377,0.7950534
36.54,346,380,0.7932308
36.574,347,381,0.7917713
36.605,347,383,0.790653
36.639,347,384,0.7898324
36.672,347,386,0.7892452
36.703,348,388,0.7888504
36.742,348,389,0.7884976
36.776,348,390,0.7882524
36.803,349,390,0.7880312
36.839,349,391,0.7878661
36.872,349,391,0.7877708
36.904,349,392,0.7877277
36.939,349,392,0.7878308
36.972,350,395,0.7887204
37.001,350,398,0.790149
37.04,351,398,0.7923255
37.077,351,398,0.7947208
37.108,352,397,0.7973093
37.139,353,397,0.8001165
37.171,353,398,0.8027859
37.208,353,398,0.8071881
37.24,353,400,0.8113989
37.271,353,402,0.8152312
37.308,351,403,0.8179038
37.338,351,404,0.8201592
37.371,351,405,0.822665
37.407,350,406,0.8249735
37.442,350,407,0.8271345
37.472,349,407,0.8292421
37.507,349,407,0.8311471
37.54,348,407,0.8328701
37.573,348,407,0.8344409
37.608,347,407,0.8359311
37.641,347,408,0.8373031
37.673,347,408,0.8386833
37.707,346,408,0.8401901
37.74,346,408,0.8413584
37.772,346,408,0.8426127
37.808,346,408,0.8437814
37.836,346,408,0.8449482
37.868,346,408,0.8464057
37.905,345,408,0.8474357
37.937,345,408,0.8483168
37.967,345,408,0.8490895
38.004,345,408,0.8497868
38.035,345,407,0.8501821
38.072,345,407,0.8505033
38.105,344,395,0.8464105
38.138,343,384,0.8428149
38.174,343,376,0.8399656
38.209,343,369,0.8378695
38.24,342,364,0.8363931
38.277,342,361,0.8353666
38.31,341,358,0.8347174
38.34,341,355,0.8343374
38.376,341,354,0.8341306
38.408,340,353,0.8340801
38.441,340,353,0.8341369
38.475,340,352,0.8342739
38.506,339,351,0.8344967
38.539,339,351,0.8348286
38.576,338,350,0.83521
38.607,338,350,0.8356393
38.64,337,350,0.8361244
38.675,337,349,0.8366293
38.706,337,349,0.8371605
38.74,336,349,0.8377032
38.776,335,348,0.8382454
38.807,335,348,0.8387867
38.839,334,348,0.8393257
38.876,333,348,0.839873
38.907,332,347,0.8403935
38.939,331,346,0.8408301
38.981,329,345,0.8410982
39.007,328,344,0.8411794
39.041,326,342,0.8411412
39.075,324,340,0.8410148
39.107,323,338,0.840795
39.14,321,336,0.8405395
39.174,319,335,0.8402724
39.209,319,333,0.8400251
